Language	NumberOfSpeakers	SpeakEnglishLessThanVeryWell	ISO_2
Romany	1555	480	
Russian	879434	416526	
Sahaptian	1295	110	
Saharan	80	(D)	
Salish	1350	100	
Samoan	64135	16905	
San Carlos	360	30	
Sandia	(D)	(B)	
Santiam	55	(D)	
Saramacca	35	(B)	
Scottic Gaelic	1635	190	
Sebuano	15700	4935	
Seneca	1015	210	
Serbian	70260	24540	
Serbocroatian	144675	62965	
Serrano	(D)	(B)	
Shawnee	255	(D)	
Shoshoni	2000	180	
Sierra Miwok	155	(B)	
Sindhi	8965	1775	
Sinhalese	26745	8350	
Siuslaw	10	(D)	
Slovak	27930	7125	
Slovene	6370	1705	
Sonoran	60	60	
Southern Maidu	(D)	(B)	
Southern Paiute	(D)	(D)	
Spanish	37458470	16344440	
Spokane	(D)	(B)	
Sudanic	8510	3935	
Sundanese	35	35	
Swahili	88685	22055	
Swedish	55735	5045	
Syriac	74725	33600	
Tachi	(D)	(B)	
Tadzhik	435	350	
Tagalog	1613346	516522	
Tamil	190685	33885	
Tanaina	90	(D)	
Tanana	(D)	(B)	
Tarascan	60	40	
Telugu	247760	51635	
Tewa	4620	360	
Thai	152649	79746	
Tibetan	16730	9735	
Tillamook	(D)	(B)	
Tiwa	2180	100	
Tlingit	1240	130	
Tokelauan	125	(D)	
Tongan	31440	8855	
Tonkawa	50	(D)	
Towa	1925	535	
Trukese	8790	5200	
Tsimshian	40	15	
Tungus	235	120	
Tupi-Guarani	245	155	
Turkish	116515	43495	
Turkmen	205	75	
Tuscarora	240	40	
Twana	(D)	(D)	
Uighur	8905	5895	
Ukrainian	152325	71915	
Ulithean	40	(D)	
Upper Chehalis	4	(D)	
Upper Chinook	270	50	
Upper Kuskokwim	(D)	(B)	
Upper Tanana	(D)	(B)	
Urdu	397502	116566	
Ute	1895	145	
Vietnamese	1399936	839237	
Walapai	300	4	
Washo	215	45	
Welsh	2235	235	
Wichita	(D)	(B)	
Winnebago	1720	185	
Wintun	135	40	
Woleai-Ulithi	140	(D)	
Wu	2670	1375	
Wyandot	30	(B)	
Yapese	720	350	
Yaqui	640	55	
Yavapai	245	20	
Yiddish	155582	53116	
Yuchi	165	(B)	
Yuma	290	80	
Yupik	19750	5930	
Yurok	350	25	
Zuni	9615	1240	
