ID,Location,Language,NumberOfSpeakers
2,Alaska,Karen languages,0
2,Alaska,Thai,196
2,Alaska,Lao,0
2,Alaska,Iu Mien,0
2,Alaska,Hmong,37
2,Alaska,Japanese,1244
2,Alaska,Korean,3585
2,Alaska,Malay,0
2,Alaska,Indonesian,184
2,Alaska,Other languages of Asia,0
2,Alaska,Filipino,315
2,Alaska,Tagalog,6218
2,Alaska,Cebuano,263
2,Alaska,Ilocano,0
2,Alaska,Other Philippine languages,0
2,Alaska,Chamorro,0
2,Alaska,Marshallese,0
2,Alaska,Chuukese,0
2,Alaska,Samoan,1109
2,Alaska,Tongan,0
2,Alaska,Hawaiian,0
2,Alaska,Other Eastern Malayo-Polynesian languages,177
2,Alaska,Arabic,64
2,Alaska,Hebrew,46
2,Alaska,Assyrian Neo-Aramaic,0
2,Alaska,Chaldean Neo-Aramaic,0
2,Alaska,Amharic,0
2,Alaska,Tigrinya,0
2,Alaska,Oromo,0
2,Alaska,Somali,0
2,Alaska,Other Afro-Asiatic languages,0
2,Alaska,Nilo-Saharan languages,0
2,Alaska,Swahili,0
2,Alaska,Ganda,0
2,Alaska,Shona,0
2,Alaska,Other Bantu languages,108
2,Alaska,Manding languages,0
2,Alaska,Other Mande languages,0
2,Alaska,Fulah,0
2,Alaska,Wolof,16
2,Alaska,Akan (incl. Twi),193
2,Alaska,Ga,0
2,Alaska,Gbe languages,18
2,Alaska,Yoruba,0
2,Alaska,Edoid languages,0
2,Alaska,Igbo,0
2,Alaska,Other Niger-Congo languages,0
2,Alaska,Other languages of Africa,431
2,Alaska,Aleut languages,11608
2,Alaska,Ojibwa,0
2,Alaska,Apache languages,0
2,Alaska,Navajo,144
2,Alaska,Dakota languages,0
2,Alaska,Muskogean languages,0
2,Alaska,Keres,0
2,Alaska,Cherokee,0
2,Alaska,Uto-Aztecan languages,22
2,Alaska,Other Native North American languages,1008
2,Alaska,Other Central and South American languages,0
2,Alaska,English only household,204377
2,Alaska,Other and unspecified languages,0
4,Arizona,Total Arizona,3076048
4,Arizona,N/A (GQ/vacant),405602
4,Arizona,Jamaican Creole English,0
4,Arizona,Other English-based Creole languages,583
4,Arizona,Haitian,645
4,Arizona,Kabuverdianu,0
4,Arizona,German,10682
4,Arizona,Swiss German,555
4,Arizona,Pennsylvania German,134
4,Arizona,Yiddish,152
4,Arizona,Dutch,1377
4,Arizona,Afrikaans,432
4,Arizona,Swedish,859
4,Arizona,Danish,464
4,Arizona,Norwegian,325
4,Arizona,Italian,7430
4,Arizona,French,10378
4,Arizona,Cajun French,0
4,Arizona,Spanish,521390
4,Arizona,Portuguese,3560
4,Arizona,Romanian,4014
4,Arizona,Irish,63
4,Arizona,Greek,1594
4,Arizona,Albanian,158
4,Arizona,Russian,5071
4,Arizona,Ukrainian,1328
4,Arizona,Czech,122
4,Arizona,Slovak,56
4,Arizona,Polish,3672
4,Arizona,Bulgarian,1410
4,Arizona,Macedonian,64
4,Arizona,Serbocroatian,644
4,Arizona,Bosnian,991
4,Arizona,Croatian,915
4,Arizona,Serbian,1785
4,Arizona,Lithuanian,255
4,Arizona,Latvian,0
4,Arizona,Armenian,1027
4,Arizona,Farsi,3480
4,Arizona,Dari,477
4,Arizona,Kurdish,0
4,Arizona,Pashto,62
4,Arizona,India N.E.C.,156
4,Arizona,Hindi,7629
4,Arizona,Urdu,966
4,Arizona,Bengali,1374
4,Arizona,Punjabi,2739
4,Arizona,Konkani,38
4,Arizona,Marathi,894
4,Arizona,Gujarati,1894
4,Arizona,Nepali,88
4,Arizona,Pakistan N.E.C.,0
4,Arizona,Sinhala,0
4,Arizona,Other Indo-Iranian languages,0
4,Arizona,Other Indo-European languages,247
4,Arizona,Finnish,137
4,Arizona,Hungarian,803
4,Arizona,Turkish,579
4,Arizona,Mongolian,0
4,Arizona,Telugu,4642
4,Arizona,Kannada,624
4,Arizona,Malayalam,1005
4,Arizona,Tamil,2716
4,Arizona,Khmer,871
4,Arizona,Vietnamese,8611
4,Arizona,Chinese,7608
4,Arizona,Mandarin,4537
4,Arizona,Min Nan Chinese,483
4,Arizona,Cantonese,2177
4,Arizona,Tibetan,0
4,Arizona,Burmese,1192
4,Arizona,Chin languages,0
4,Arizona,Karen languages,0
4,Arizona,Thai,1628
4,Arizona,Lao,883
4,Arizona,Iu Mien,82
4,Arizona,Hmong,32
4,Arizona,Japanese,3466
4,Arizona,Korean,6009
4,Arizona,Malay,0
4,Arizona,Indonesian,469
4,Arizona,Other languages of Asia,475
4,Arizona,Filipino,3217
4,Arizona,Tagalog,9530
4,Arizona,Cebuano,409
4,Arizona,Ilocano,101
4,Arizona,Other Philippine languages,0
4,Arizona,Chamorro,505
4,Arizona,Marshallese,197
4,Arizona,Chuukese,123
4,Arizona,Samoan,544
4,Arizona,Tongan,49
4,Arizona,Hawaiian,76
4,Arizona,Other Eastern Malayo-Polynesian languages,0
4,Arizona,Arabic,9400
4,Arizona,Hebrew,1528
4,Arizona,Assyrian Neo-Aramaic,803
4,Arizona,Chaldean Neo-Aramaic,38
4,Arizona,Amharic,1427
4,Arizona,Tigrinya,243
4,Arizona,Oromo,87
4,Arizona,Somali,1347
4,Arizona,Other Afro-Asiatic languages,271
4,Arizona,Nilo-Saharan languages,719
4,Arizona,Swahili,1709
4,Arizona,Ganda,86
4,Arizona,Shona,0
4,Arizona,Other Bantu languages,770
4,Arizona,Manding languages,0
4,Arizona,Other Mande languages,90
4,Arizona,Fulah,291
4,Arizona,Wolof,0
4,Arizona,Akan (incl. Twi),902
4,Arizona,Ga,0
4,Arizona,Gbe languages,0
4,Arizona,Yoruba,547
4,Arizona,Edoid languages,0
4,Arizona,Igbo,1030
4,Arizona,Other Niger-Congo languages,516
4,Arizona,Other languages of Africa,785
