Language,NumberOfSpeakers,SpeakEnglishLessThanVeryWell,ISO
Washo,215,45,was
Cocomaricopa,35,(B),
Mohave,200,35,mov
Yuma,290,80,
Diegueno,295,40,
Delta River Yuman,365,10,
Havasupai,145,4,yuf
Walapai,300,4,
Yavapai,245,20,yuf
Chumash,(D),(B),
Tonkawa,50,(D),tqw
Yuchi,165,(B),yuc
Crow,4160,215,cro
Hidatsa,625,50,hid
Mandan,75,20,mhq
Dakota,17855,1330,dak
Chiwere,105,25,
Winnebago,1720,185,win
Kansa,20,(B),
Omaha,480,15,oma
Osage,420,(D),osa
Ponca,305,25,
Quapaw,(D),(B),
Alabama,370,70,akz
Choctaw,9635,1425,cho
Mikasuki,290,65,mik
Koasati,365,25,cku
Muskogee,4465,710,
Chetemacha,65,(D),
Keres,13190,2295,
Iroquois,165,65,
Mohawk,1945,225,moh
Oneida,770,65,one
Onondaga,75,(B),ono
Cayuga,(D),(B),cay
Seneca,1015,210,see
Tuscarora,240,40,tus
Wyandot,30,(B),wya
Cherokee,11465,1460,chr
Arikara,155,40,ari
Caddo,115,(B),cad
Pawnee,95,(D),paw
Wichita,(D),(B),wic
Comanche,1015,90,com
Mono,355,105,
Paiute,1305,200,
Northern Paiute,30,(D),
Southern Paiute,(D),(D),
Chemehuevi,(D),(B),ute
Kawaiisu,(D),(B),xaw
Ute,1895,145,ute
Shoshoni,2000,180,
Hopi,6075,1525,hop
Cahuilla,60,(B),chl
Cupeno,20,(D),
Luiseno,75,15,
Serrano,(D),(B),ser
Pima,6990,720,
Yaqui,640,55,yaq
Picuris,155,(D),
Tiwa,2180,100,
Sandia,(D),(B),
Tewa,4620,360,
Towa,1925,535,
Zuni,9615,1240,zun
Chinook Jargon,45,(D),
American Indian,7110,1175,
Jicarilla,510,30,
Chiricahua,155,20,
San Carlos,360,30,
Kalispel,30,(B),fla
Spokane,(D),(B),spo
Hungarian,86406,25983,hun
Arabic,924374,341425,
Hebrew,212747,34912,
Amharic,195260,81385,amh
Berber,2940,1630,
Chadic,8565,2275,
