GEOID	County	Population5YearsAndOver	SpeakALanguageOtherThanEnglish	Spanish	IndoEuropean	AsianPacificIsland	Other
US42119	"Union County, Pennsylvania"	43026	4582	1781	2192	505	104
US42121	"Venango County, Pennsylvania"	49258	909	261	518	98	32
US42123	"Warren County, Pennsylvania"	37769	1269	310	818	88	53
US42125	"Washington County, Pennsylvania"	196754	5653	1849	2352	1017	435
US42127	"Wayne County, Pennsylvania"	49273	2353	1141	916	197	99
US42129	"Westmoreland County, Pennsylvania"	336580	8753	2526	4106	1743	378
US42131	"Wyoming County, Pennsylvania"	26009	453	234	186	29	4
US42133	"York County, Pennsylvania"	419997	32499	20106	7535	3496	1362
US44001	"Bristol County, Rhode Island"	46752	5407	547	4307	462	91
US44003	"Kent County, Rhode Island"	155792	14254	4643	6293	2746	572
US44005	"Newport County, Rhode Island"	79219	7557	2514	3681	953	409
US44007	"Providence County, Rhode Island"	599407	189825	113472	51038	17706	7609
US44009	"Washington County, Rhode Island"	121389	7516	2238	3436	1482	360
US45001	"Abbeville County, South Carolina"	23336	656	201	388	7	60
US45003	"Aiken County, South Carolina"	158604	10128	7816	1249	1002	61
US45005	"Allendale County, South Carolina"	8614	342	252	26	56	8
US45007	"Anderson County, South Carolina"	186483	8404	5640	1991	558	215
US45009	"Bamberg County, South Carolina"	13709	366	188	138	33	7
US45011	"Barnwell County, South Carolina"	20020	480	468	12	0	0
US45013	"Beaufort County, South Carolina"	176189	19487	15399	2120	1350	618
US45015	"Berkeley County, South Carolina"	201139	16670	9386	3537	3276	471
US45017	"Calhoun County, South Carolina"	13918	604	485	81	38	0
US45019	"Charleston County, South Carolina"	377377	26146	14831	6635	3823	857
US45021	"Cherokee County, South Carolina"	53581	2224	1618	351	226	29
US45023	"Chester County, South Carolina"	30488	818	675	106	37	0
US45025	"Chesterfield County, South Carolina"	43355	1707	1474	162	63	8
US45027	"Clarendon County, South Carolina"	32334	1303	910	198	155	40
US45029	"Colleton County, South Carolina"	35472	1151	1083	58	10	0
US45031	"Darlington County, South Carolina"	63119	1301	857	288	141	15
US45033	"Dillon County, South Carolina"	28613	1102	669	55	26	352
US45035	"Dorchester County, South Carolina"	148683	9412	5281	2198	1805	128
