Language,Translation,Filename,DriveID,Script,Source
afrikaans,How are you?,Afrikaans_HowAreYou.mp3,148n0kW4Fi0zt0B5QUXsCCg2psLAfyrTG,Hoe gaan dit met jou?ï¿½(inf),https://omniglot.com/soundfiles/
albanian,Long time no see,Albanian_longtimenosee_sq-gheg.mp3,1wk_QcrL7Ad875qt-piq5Dnk00nQbaXm0,Ka shum koh qï¿½ s'jemi pï¿½,https://omniglot.com/soundfiles/
amharic,Where are you from?,Amharic_wherefrom1_am.mp3,1OFWsJZEqU7Z8XSKMdzT1IuoqZRWSV5Ul,???? ??? ??? (?rswo käyät not?) frm,https://omniglot.com/soundfiles/
arabic,Good afternoon,Arabic_goodafternoon_ar.mp3,1uzpka3IuM4lVXSdcBNN_GpAYLQcTVPMR,(mas?' al-khayr)ï¿½???? ?????,https://omniglot.com/soundfiles/
bengali,What's your name?,Bengali_name2_bn.mp3,1QCtVvWnK1VIQCgJw-rwz157XUfg7O99D,????? ??? ???ï¿½(Tomar nam ki?) - inf,https://omniglot.com/soundfiles/
bosnian,Thank you,Bosnian_thanks_bo.mp3,1XVmn77wJeHc8uCYulNrbtDkT1lEQQ60S,Hvala,https://omniglot.com/soundfiles/
french,What's your name?,French_name1_fr.mp3,1XUh_9kFcf_ktmCrHQE1aUn4qS8TYdsA0,Comment est-ce que vous vous appelez ?,https://omniglot.com/soundfiles/
german,Pleased to meet you,German_meet2_de.mp3,1B4M7yTN0aIK5Z_rhZiIeLLIJ_x3Ej5cH,"Es freut mich, Sie kennen zu lernenï¿½(frm)",https://omniglot.com/soundfiles/
hawaiian,Pleased to meet you,Hawaiian_meet_hawaiian.mp3,1GfsplIUknv4uC7DwprOoobHPSz70SJq1,Hau?oli k?ia hui ?ana o k?ua,https://omniglot.com/soundfiles/
irish,Long time no see,Irish_longtimenosee_ga.mp3,1yxUe1P2MhFFXHQBsMBtE7E-NH0jyHXK2,Nï¿½ fhaca mï¿½ le fada thï¿½ï¿½(sg),https://omniglot.com/soundfiles/
italian,Pleased to meet you,Italian_meet2_it.mp3,1OD33uHt99WwoWcG2odEz3PwKTi5B5YnM,Piacere di conoscertiï¿½(inf),https://omniglot.com/soundfiles/
